Country,Jurisdiction,"Policy Category","Name of policy",Sector,"Energy Type",Stage,Mechanism,"Legislation and Endorsing Agency",Objectives,"Date of announcement","Date of entry info force",Currency,"Value committed","Value committed, USD","Value disbursed","Value disbursed, USD",Background,"Links to sources","Archived Links to sources"
Russia,National,"fossil unconditional","Reduction Coefficient of the Extraction Tax for Unconventional Natural Gas Reserves (e.g. Berezovskaya formation)",Resources,"gas and gas products","exploration or production or processing or storage or transportation","tax or royalty or govt fee break (GRF)","Government of Russia",,13/05/2021,02/07/2021,RUB,0,0,0,0,"This measure is aimed to facilitate extraction from hard-to-reach gas reserves that would not be profitable without tax relief
",https://sozd.duma.gov.ru/bill/1170972-7,
Japan,National,"clean unconditional","Subsidy for the Purchase of Renewable Energy Procurement Market Price Fluctuation Insurance","Power generation","multiple renewable","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promote renewable energy procurement through market price fluctuation insurance",21/12/2021,21/12/2021,JPY,399824000,3744547,0,0,"If a small-scale electric utility that meets certain requirements, such as a retail electric utility funded by a municipality or a retail electric utility engaged in local production for local consumption, purchases private insurance to cover market fluctuation price risk when it procures renewable electricity (specified supply of renewable electricity), a portion of the insurance premiums will be subsidized.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean conditional","Project to promote decarbonized car sharing and disaster prevention centers through simultaneous introduction of renewable energy and electric vehicles",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Ministry of the Environment","Promote combination of renewable generation facilities and electric vehicles ",21/12/2021,21/12/2021,JPY,1000000000,9365489,0,0,"Local governments and private businesses and organizations will be supported to purchase renewable energy generation facilities and electric vehicles at the same time and share them with local residents. In addition, the program also supports the introduction of recharging and discharging equipment and external power feeders to help local governments and private companies turn their facilities into disaster centers and contribute to strengthening local resilience.",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/001.pdf,
Japan,National,"clean unconditional","Project to support the realization of sustainable and resilient communities through the introduction of renewable energy","Power generation","multiple renewable","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Ministry of the Environment","Support local government to formulate regional renewable energy strategies and to build regional renewable energy systems",21/12/2021,21/12/2021,JPY,1650000000,15453056,0,0,"""Support for local governments, etc. to formulate strategies for setting targets and building consensus for the introduction of regional renewable energy, build a system for implementation and operation of regional renewable energy projects conducted through public-private partnerships, and implement regional decarbonization.
(1) Support for the formulation of strategies to promote the introduction of regional renewable energy in a planned and phased manner
(2) Support for the establishment of a framework for the implementation and operation of local renewable energy projects conducted through public-private partnerships
(3) Support for promoting the use of third-party ownership models for the installation of solar power generation equipment, etc.""",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/001.pdf,
Japan,National,"clean unconditional","Subsidy for promotion of renewable energy in symbiosis with local communities","Power generation","multiple renewable","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promote regional micro-grid to increase decentralised  renewable energy facilities",21/06/2021,21/06/2021,JPY,2946587000,27596226,0,0,"Partial support for private companies, etc. that intend to build a ""regional micro-grid"" that can supply power independently in the event of a large-scale power outage due to a disaster, etc., by utilizing renewable energy in the region and monitoring the tidal current of the lower grid under normal circumstances.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
Japan,National,"clean unconditional","Promotion of Self-Sustained and Decentralized Energy Facilities at Evacuation Facilities for Simultaneous Realization of Regional Resilience and Decarbonization",Buildings,"multiple renewable","several energy stages","budget or off-budget transfer (DT)","Ministry of the Environment","Promotion of self-sustainaed and decentralized energy facilities for improving resilience and decarbonization",21/12/2021,21/12/2021,JPY,7000000000,65558418,0,0,"Support the introduction of renewable energy facilities and CO2-saving facilities to public facilities, to strengthen the resilience of local communities and to enable the functioning of energy supply, etc. in times of disaster, in addition to decarbonization in normal times. The subsidy covers part of the cost of introducing renewable energy facilities, facilities to utilize unused energy, cogeneration systems (CGS) and their ancillary facilities (energy storage, charging/discharging facilities/charging equipment, self-supply lines, heat pipes, etc.), and CO2-saving facilities (including high-performance ventilation facilities and energy-saving septic tanks), etc., which contribute to disaster prevention and disaster mitigation.",https://www.env.go.jp/guide/budget/r03/r03-hos-gaiyo/002.pdf,
Japan,National,"clean unconditional","Introduction and development of advanced production technology to secure the domestic production base for storage batteries","Power generation","multiple renewable","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","Ministry of Economy, Trade and Industry","Promotion of domestic batteries production",21/12/2021,21/12/2021,JPY,12999813000,121749595,0,0,"For businesses that introduce advanced production and recycling technologies for storage batteries and materials on a large scale in Japan, the program provides partial support for the investment in buildings and equipment necessary for this purpose, as well as for research and development costs related to such production and recycling technologies.",https://www.meti.go.jp/main/yosan/yosan_fy2021/hosei/pdf/hosei_yosan_pr.pdf,
"European Institutions","Member States","other energy","EU LIFE Program &#8211; €35 million for climate change mitigation projects","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","EU Commission","The Commission has approved an investment package of more than €290 million for 132 new projects under the LIFE programme for the environment and climate action. This EU funding will mobilise a total investment of €562 million, with projects in almost all Member States. The new LIFE projects will help Europe become a climate-neutral continent by 2050, put Europe's biodiversity on a path to recovery by 2030, and contribute to the EU green recovery post-Covid-19. ",25/11/2021,25/11/2021,EUR,35000000,39954338,0,0,"Within the EU LIFE Program 17 climate change mitigation projects will have funds of approximately €66 million, of which the EU will provide around €35 million. Project examples include promoting climate neutral farming as well as improving heat recovery in iron and steel manufacturing",https://ec.europa.eu/commission/presscorner/detail/en/ip_21_6178,
"European Institutions","Member States","clean conditional","EU proposes new transport measures to target greater efficiency and more sustainable travel",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","new or extended regulation (IT)","EU Commission","By increasing connectivity and shifting more passengers and freight to rail and inland waterways, by supporting the roll-out of charging points, alternative refuelling infrastructure, and new digital technologies, by placing a stronger focus on sustainable urban mobility, and by making it easier to choose different transport options in an efficient multimodal transport system, the proposals will put the transport sector on track to cutting its emissions by 90%.",14/12/2021,14/12/2021,EUR,0,0,0,0,"""The European Commision adopted four proposals that will modernise the EU's transport system. To address the missing links and modernise the entire network, today's proposal:

Requires that the major TEN-T passenger rail lines allow trains to travel at 160 km/h or faster by 2040 thus creating competitive high-speed railway connections throughout the Union. Canals and rivers must ensure good navigation conditions, unhindered for example by water levels, for a minimum number of days per year.
Calls for more transhipment terminals, improved handling capacity at freight terminals, reduced waiting times at rail border crossings, longer trains to shift more freight onto cleaner transport modes, and the option for lorries to be transported by train network-wide. To ensure infrastructure planning meets real operational needs, it also creates nine ‘European Transport Corridors' that integrate rail, road, and waterways.
Introduces a new intermediary deadline of 2040 to advance the completion of major parts of the network ahead of the 2050 deadline that applies to the wider, comprehensive network. So new high-speed rail connections between Porto and Vigo, and Budapest and Bucharest – among others – must be completed for 2040.
Requires all 424 major cities along the TEN-T network to develop Sustainable Urban Mobility Plans to promote zero-emission mobility and to increase and improve public transport and infrastructure for walking and cycling.""",https://ec.europa.eu/commission/presscorner/detail/en/ip_21_6776,
"European Institutions","Member States","clean conditional","EU adopts &#8220;Fit for 55&#8221;-package","Multiple sectors","multiple energy types","several energy stages","new or extended regulation (IT)","EU Commission","The proposals will enable the necessary acceleration of greenhouse gas emission reductions in the next decade. They combine: application of emissions trading to new sectors and a tightening of the existing EU Emissions Trading System; increased use of renewable energy; greater energy efficiency; a faster roll-out of low emission transport modes and the infrastructure and fuels to support them; an alignment of taxation policies with the European Green Deal objectives; measures to prevent carbon leakage; and tools to preserve and grow our natural carbon sinks.",14/07/2021,14/07/2021,EUR,0,0,0,0,"European Commission adopted a package of proposals to make the EU's climate, energy, land use, transport and taxation policies fit for reducing net greenhouse gas emissions by at least 55% by 2030, compared to 1990 levels. Achieving these emission reductions in the next decade is crucial to Europe becoming the world's first climate-neutral continent by 2050 and making the European Green Deal a reality. ",https://ec.europa.eu/commission/presscorner/detail/en/IP_21_3541,
"European Institutions","Member States","fossil conditional","Commission proposes new EU framework to decarbonise gas markets, promote hydrogen and reduce methane emissions",Resources,"gas and gas products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","EU Commission","The European Commission has adopted a set of legislative proposals to decarbonise the EU gas market by facilitating the uptake of renewable and low carbon gases, including hydrogen, and to ensure energy security for all citizens in Europe. The Commission is also following up on the EU Methane Strategy and its international commitments with proposals to reduce methane emissions in the energy sector in Europe and in our global supply chain.",15/12/2021,15/12/2021,EUR,0,0,0,0,"The Commission's proposals (regulation and directive) create the conditions for a shift from fossil natural gas to renewable and low-carbon gases, in particular biomethane and hydrogen, and strengthen the resilience of the gas system. One of the main aims is to establish a market for hydrogen, create the right environment for investment, and enable the development of dedicated infrastructure, including for trade with third countries. The market rules will be applied in two phases, before and after 2030, and notably cover access to hydrogen infrastructures, separation of hydrogen production and transport activities, and tariff setting. A new governance structure in the form of the European Network of Network Operators for Hydrogen (ENNOH) will be created to promote a dedicated hydrogen infrastructure, cross-border coordination and interconnector network construction, and elaborate on specific technical rules.",https://ec.europa.eu/commission/presscorner/detail/en/ip_21_6682,
"European Institutions","Member States","fossil unconditional","EU countries agree to prolong funding for selected gas project",Resources,"gas and gas products","exploration or production or processing or storage or transportation","budget or off-budget transfer (DT)","EU Commission","Ministers agreed that while new dedicated gas and oil projects should generally not receive support, projects in the island countries of Malta and Cyprus with PCI status should retain it until those countries are fully connected to the European gas network. That could help ensure the completion of Greece, Cyprus and Israel’s Eastmed pipeline to supply Europe with gas from the eastern Mediterranean.",14/06/2021,14/06/2021,EUR,0,0,0,0,"European Union energy ministers agreed to prolong EU support for some cross-border natural gas projects, despite a push from 11 countries and the European Commission who said such funding should end to comply with climate change goals. The EU’s “TEN-E” rules define which cross-border energy projects can be labelled Projects of Common Interest (PCI), giving them access to EU funds and fast-tracked permits.",https://www.euractiv.com/section/energy/news/eu-countries-agree-to-prolong-funding-for-selected-gas-projects-with-caveats/,
"European Institutions","Member States","clean conditional","EU&#8217;s second call for large-scale projects under the Innovation Fund worth EUR 1.5 billion","Multiple sectors","multiple energy types","several energy stages","budget or off-budget transfer (DT)","EU Commission","With a revenue of more than €25 billion until 2030, depending on the carbon price, the Innovation Fund aims to create the right financial incentives for companies and public authorities to invest now in the next generation of low-carbon technologies and give EU companies a first-mover advantage to become global technology leaders.",26/10/2021,26/10/2021,EUR,1500000000,1712328768,0,0,"The EU's Innovation Fund is one of the world's largest program for the demonstration of innovative low-carbon technologies, financed by revenues from the auction of emission allowances from the EU's Emissions Trading System. With a budget of €1.5 billion it will finance breakthrough technologies for renewable energy, energy-intensive industries, energy storage, and carbon capture, use and storage.",https://ec.europa.eu/commission/presscorner/detail/en/ip_21_5473,
"European Institutions","Member States","clean unconditional","EU Cohesion policy: €216 million to modernise Bucharest’s thermal energy transmission system",Buildings,"energy efficiency","energy efficiency","budget or off-budget transfer (DT)","European Commission","To modernize the thermal energy transmission system of Bucharest",27/05/2021,27/05/2021,EUR,216000000,246575343,0,0,"The Commission has approved an investment of €216 million from the Cohesion Fund to modernize the thermal energy transmission system of Bucharest, the capital of Romania. The city’s thermal energy transmission system is one of the largest in the world, supplying over 1.2 million people with heat and hot water. 211.94 km of pipes, which is equivalent to 105.97 km of transmission system, will be replaced to remedy the current problem of the loss of around 28% of the heat between the source and the consumer. Moreover, a new leak-detection system will be installed. The project will ensure a sustainable and affordable thermal energy transmission system increasing the energy efficiency of the network for a better quality of life of inhabitants and better air quality thanks to a substantial reduction of gas to be burnt. This will contribute to the country’s goal of reducing its greenhouse gas emissions in line with the European Green Deal.",https://ec.europa.eu/info/news/eu-cohesion-policy-eu216-million-modernise-bucharests-thermal-energy-transmission-system-2021-may-27_en,
"European Institutions","Member States","clean unconditional","Commission approves €254 million Romanian aid to support rehabilitation of district heating system in Bucharest",Buildings,"energy efficiency","energy efficiency","budget or off-budget transfer (DT)","EU Commission","To contribute to energy savings and reduce greenhouse gas emissions and other pollutants emissions",23/02/2021,23/02/2021,EUR,254000000,289954338,0,0,"The European Commission has approved, under EU State Aid rules, Romanian plans to support the upgrade of the district heating system of the municipality of Bucharest. Romania notified the Commission of its plans to provide public support of approximately €254 million (1,208 billion RON ) for the rehabilitation of the distribution network (notably the “transmission” pipelines of hot water to the main distribution points) of the district heating system in the urban area of Bucharest. The planned support will take the form of a direct grant financed by EU Structural Funds managed by Romania. 

The Bucharest district heating system is the largest in size in the EU, and the second largest in the world, serving 1.2 million inhabitants, covering around 940 km of thermic pipes for the transmission system and 2,800 km pipes for the distribution system. The rehabilitation of the Bucharest District heating will consist in the replacement of sections of main hot water transmission pipelines for approximately 10% of the overall length of Bucharest's district heating network. This investment will reduce heat losses, water refill losses, network maintenance costs, as well as other losses. The measure will therefore contribute to energy savings and reduce greenhouse gas emissions and other pollutants emissions. As demonstrated by the Romanian authorities, despite the reduction by around 10% of operating costs, the overall operation of the district heating system will not generate sufficient revenues to cover the investment costs. Therefore the project would not be financially viable without public support. The contribution of a grant from EU Structural Funds is needed to cover the financing gap of the project.",https://ec.europa.eu/commission/presscorner/detail/en/ip_21_762,
"European Institutions","Member States","other energy","INEA sign €720 million grant agreement for the Baltic Synchronisation project","Power generation","multiple energy types","electricity storage or transmission or distribution","budget or off-budget transfer (DT)","Innovation and Networks Executive Agency","To better integrate electricity grids of the Baltic States with the ones of the rest of continental Europe and ensure their energy independence from third countries",14/12/2020,14/12/2020,EUR,720000000,821917809,0,0,"INEA (the Innovation and Networks Executive Agency) has signed a €720 million grant agreement with the electricity transmission system operators of Estonia, Latvia, Lithuania and Poland for the Baltic Synchronisation Project. This represents the largest amount of funding ever attributed from the Connecting Europe Facility Energy (CEF-E). 
Following previous funding awarded in 2019 for the reinforcement of the internal grids of the Baltic States, the grant signed today will be mainly dedicated for the construction of Harmony Link – an electricity cable connecting Poland and Lithuania through the Baltic Sea. The cable will become a building block for allowing the integration of offshore renewable energy resources. This funding will also cover synchronous condensers in Estonia, Latvia and Lithuania and reinforcements of the Polish grid that will ensure the full functionality of the Harmony Link and safe operation of the system. 
According to the Polish press, EUR 493 million will be allocated to the construction of Harmony Link while EUR 166.5 million will be used to install synchronous compensators in Estonia, Lithuania, and Latvia. The remaining funds will be allocated to the modernization of the transmission infrastructure in Poland, necessary to ensure the stable operation of the interconnected power systems. ",https://ec.europa.eu/info/news/baltic-states-and-poland-sign-eu720-million-grant-agreement-baltic-synchronisation-project-2020-dec-14_en,"https://www.cire.pl/item,208853,1,0,0,0,0,0,umowa-na-dofinansowanie-infrastruktury-elektroenergetycznej-w-polsce-i-panstwach-baltyckich-podpisana-.htm"
Canada,national,"fossil unconditional","Support provided by Export Development Canada to oil and gas in 2021",Resources,"oil and gas","several energy stages","other hybrid support measures",EDC,"Increase the competitiveness of Canada's oil and gas sector",31/12/2021,,CAD,5149000000,3839671887,0,0,"This amount of funding represents the total support Export Development Canada (EDC), Canada's export credit agency, provides to the domestic fossil fuel industry (specifically to oil and gas) for the 2021 period.",https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2021.html,
Canada,national,"fossil unconditional","Support provided by Export Development Canada to oil and gas in 2020",Resources,"oil and gas","several energy stages","other hybrid support measures",EDC,"Increase the competitiveness of Canada's oil and gas sector",30/12/2020,,CAD,8098000000,6038777033,0,0,"This amount of funding represents the total support Export Development Canada (EDC), Canada's export credit agency, provides to the domestic fossil fuel industry (specifically to oil and gas) for the 2020 period. ",https://www.edc.ca/en/about-us/corporate/disclosure/reporting-transactions/canadian-industry-sub-sector-2020.html,
"The Netherlands",Hengelo,"fossil conditional","Commission approves €14.3 million Dutch aid to support a carbon capture and use facility","Other sector","gas and gas products","reduced environmental damage","budget or off-budget transfer (DT)","European Commission","The aim of the measure is to increase environmental protection by reducing the use of primary energy sources for conventional forms of CO2 generation for horticultural processes and therefore reducing CO2 emissions linked to these processes.",30/07/2021,30/07/2021,EUR,14300000,16324201,0,0,"The European Commission has found a €14.3 million Dutch investment aid to TWENCE HOLDING BV to build a carbon capture and use facility to be in line with EU State aid rules. The project will enable the removal of CO2 from flue gases at the company’s waste-to-energy installation facility located at Hengelo, in the Netherlands. The captured liquid CO2 will be used primarily by greenhouses in the horticultural sector, where it is to be used to enhance crop growth. The investment project relates to the capturing process and equipment of the liquefied CO2 and not to its transport. The aim of the measure is to increase environmental protection by reducing the use of primary energy sources for conventional forms of CO2 generation for horticultural processes and therefore reducing CO2 emissions linked to these processes. In addition, the measure aims at re-using CO2 and contributing to the development of sustainable and circular product chains for the reutilization and application of CO2. The intended investment aid of around €14.3 million would represent 37% of the eligible investment costs of the project. ",https://ec.europa.eu/info/news/state-aid-commission-approves-eu143-million-dutch-aid-support-carbon-capture-and-use-facility-2021-jul-30_en,
"The Netherlands","Rotterdam port area/ North Sea","fossil conditional","Dutch government grants €2 billion in subsidies to carbon storage project","Power generation","multiple fossil","reduced environmental damage","budget or off-budget transfer (DT)","Dutch government","Reduce emissions in the industrial cluster surrounding Rotterdam by around 10%",09/05/2021,09/05/2021,EUR,2000000000,2283105023,0,0,"The Dutch government has granted a consortium that includes oil majors Royal Dutch Shell and ExxonMobil around €2 billion in subsidies for what is set to become one of the largest carbon capture and storage (CCS) projects in the world. Shell and Exxon requested the subsidies in January together with industrial gas suppliers Air Liquide and Air Products for a project which aims to capture CO2 emitted by factories and refineries in the Rotterdam port area and store it in empty Dutch gas fields in the North Sea. The project is set to become operational in 2024 and is expected to reduce emissions in the industrial cluster surrounding Europe’s largest sea port by around 10%. The subsidies are meant to compensate the companies for the extra costs of capturing the greenhouse gasses instead of emitting them, while the port will provide the necessary infrastructure to transport the carbon dioxide to the empty offshore gas fields.",https://www.euractiv.com/section/energy-environment/news/dutch-government-grants-e2-billion-in-subsidies-to-huge-carbon-storage-project/,
"The Netherlands",National,"clean conditional","Scale-up of public transport infrastructure – €2.5 billion",Mobility,"multiple energy types","energy use (all energy types, consumption in transport, household use, buildings etc)","budget or off-budget transfer (DT)","Dutch government","""The government is injecting €646 million into and setting aside €3.5 billion for ten projects designed to ensure greater economic growth in the Netherlands. The government intends to invest these sums, which will be allocated from the National Growth Fund, in green hydrogen, innovative and future-proof education methods and the extension of Amsterdam's North-South metro line, among other things. In awarding grants to these projects, the government is adopting the recommendation issued by the proposal assessment advisory committee led by Jeroen Dijsselbloem in full. The news was announced by the Ministers Van 't Wout (Economic Affairs and Climate Policy) and Hoekstra (Finance). 

The advisory committee advised the government to allocate €646 million from the National Growth Fund at once (although some of the allocations are subject to conditions). Furthermore, it advised that €3.5 billion be earmarked for proposals whose funding is contingent on the applicants supplying more detailed information. The National Growth Fund is intended for one-off public investment that contributes to the country's future economic growth. The projects that will be granted funding will all result in increased productivity and create new business, the committee found, partly based on analyses performed by the Netherlands Bureau for Economic Policy Analysis and other experts""",09/04/2021,09/04/2021,EUR,2530000000,2888127854,0,0,"The Dutch government has earmarked a total of EUR 2.5 billion for 3 public transport infrastructure projects: (1) Expansion of metropolitan public transport system and Southern Randstad urbanization; (2) Expansion of the MRA metropolitan public transport system and urbanization; (3) Eindhoven Brainport line",,
